,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
timestamp,Temperature,Temperature,Temperature,Relative Humidity,Relative Humidity,Relative Humidity,Wind Speed,Wind Speed,Wind Speed,Wind Direction Dominant
20190524T0000,11.510529,23.45053,18.186365,37.0,79.0,58125,1.4399999,12.57426,8.86965,43.025055
20190525T0000,13.350529,19.06053,16.44136,59.0,83.0,69.291664,2.1897945,18.0,7.314157,320.33475
20190526T0000,11.130529,22.14053,16.981363,44.0,92.0,66.25,0.71999997,8.587338,4.6571903,327.1443
20190527T0000,12.390529,20.600529,17.008028,51.0,77.0,63.5,1.5273507,18.193361,10.949674,282.98044
20190528T0000,9.280529,15.460529,12.903028,59.0,85.0,74875,6.924738,22.734219,15.428703,280.85104
20190529T0000,9.200529,16.39053,12.6251135,53.0,85.0,68.666664,3.096837,17.782688,11.118823,305.34286
20190530T0000,9.080529,21.37053,16.056362,34.0,79.0,57.708332,1.2979984,8.557102,4.300779,331.38953
20190531T0000,12.680529,23.95053,18.910114,46.0,80.0,59.541668,2.2768397,9.19939,5.4563527,66.9974
20190601T0000,14.180529,26.750528,21.345114,43.0,77.0,58.916668,2.0991426,9.028754,6.3077626,92.79724
20190602T0000,14.710529,28.940529,23.095114,36.0,80.0,56.333332,0.35999998,9.565437,4.9123216,125.26301
20190603T0000,17.73053,28.71053,22.413446,38.0,83.0,63.958332,0.8049845,27.466372,10.345101,184.76364
20190604T0000,16.05053,31.340528,23.94678,32.0,82.0,57.25,4.829907,20.497883,14.534364,125.46804
20190605T0000,16.940529,29.860529,23.742197,37.0,74.0,52.041668,4.198285,22.768398,11.195376,108.519585
20190606T0000,10.340529,18.87053,15.063446,49.0,77.0,62125,2.6208394,33.887836,11.908875,270.0
20190607T0000,11.780529,27.260529,17.891363,37.0,87.0,61.083332,2.8799999,38.1617,18309,156.95714
20190608T0000,10.520529,20.940529,16.289694,35.0,65.0,48125,2.5455842,20.5484,13.154719,276.4588
20190609T0000,11.480529,19.240528,15.667613,53.0,95.0,74125,2.52,21.67487,8.457519,105.345276
20190610T0000,13.990529,20.350529,15.947196,66.0,96.0,89.0,2.8116899,16.279802,9.000711,298.15335
20190611T0000,12.600529,16.680529,14.088863,71.0,94.0,86.0,3.6,20.808498,13.024754,305.46988
20190612T0000,10.470529,20.54053,15.95803,51.0,90.0,66.958336,0.71999997,22.148045,7.500852,278.8543
20190613T0000,13.770529,23.87053,18.975946,35.0,74.0,53.916668,0.71999997,14.618837,6.8726144,132.57072
20190614T0000,14.110529,28.660528,21.613443,33.0,80.0,56.916668,4.829907,26.999998,13.226872,86.884155
20190615T0000,15.540529,23.73053,19.144693,51.0,93.0,73.958336,2.7416782,31.104082,11.403354,276.1155
20190616T0000,13.330529,22.21053,18.103443,50.0,93.0,70.541664,1.2979984,9.007196,5.8515244,346.10883
20190617T0000,12.000529,27.010529,20.730947,42.0,86.0,63.291668,1.609969,11.159999,6.467531,88.90729
20190618T0000,17.160528,28.410528,23.410112,39.0,82.0,60.5,0.0,10.805998,5.077233,142.5684
20190619T0000,18.57053,30.14053,24.525948,33.0,73.0,50125,3.2599385,16.039202,9.198992,221.87787
20190620T0000,17.37053,22.100529,19.82136,60.0,85.0,74375,1.484318,8.891344,5.3692646,254.49004
20190621T0000,15.020529,22.920528,19.008028,57.0,86.0,72625,1.835647,10.1376915,6.28265,14.317932
20190622T0000,15.480529,20.090528,17.830946,74.0,94.0,85.5,0.5091169,10.587918,5.4294834,330.38715
20190623T0000,15.440529,26.930529,21.23178,49.0,96.0,71.458336,0.71999997,15.745627,9.4227085,98.98867
20190624T0000,16.71053,31.340528,24.563444,39.0,84.0,62.25,8.4963045,16.520823,12.611321,108.763596
20190625T0000,19.57053,34.85053,27.700111,39.0,81.0,59.75,1.2979984,12.496718,6.929245,109.9538
20190626T0000,23.910528,36.12053,30.518862,38.0,74.0,57.416668,0.35999998,7.072878,4.256762,77.50399
20190627T0000,22.04053,33.02053,27.358862,55.0,88.0,67.416664,0.0,23.084955,13.316705,338.7385
20190628T0000,17.06053,30.520529,24.288446,49.0,74.0,57.416668,1.1384199,16.595179,8.620767,345.02167
20190629T0000,17.030529,33.08053,25.725946,28.0,80.0,56.583332,0.71999997,14.241629,8.801315,101.82149
20190630T0000,21.170528,34.200527,28.64553,36.0,81.0,56.916668,1.9386592,20.907913,10.393717,253.47911
20190701T0000,22.65053,32.380527,27.462608,46.0,78.0,61875,0.71999997,20.730501,10.349126,304.8201
20190702T0000,17.110529,26.750528,21.943863,52.0,83.0,65.75,5.2416787,18.289274,10.168861,342.68713
20190703T0000,15.420529,26.81053,21.225529,45.0,78.0,62.041668,0.35999998,10.829959,5.702128,358.9391
20190704T0000,13.010529,27.45053,20.768446,46.0,84.0,63.666668,4.73506,12.661564,7.996304,329.79675
20190705T0000,17.79053,30.410528,23.938028,27.0,69.0,49.5,2.16,10.703569,6.7095623,282.42328
20190706T0000,18.72053,32.28053,25.295944,32.0,80.0,53.75,0.8049845,26.230639,8.604392,241.83748
20190707T0000,18.15053,25.90053,22.393028,48.0,92.0,68.541664,2.8799999,20.880001,10.42421,263.22784
20190708T0000,14.510529,20.860529,17.91428,57.0,82.0,66.958336,0.8049845,23.241617,12.29444,332.9538
20190709T0000,10.960529,22.740528,17.44678,48.0,78.0,60.041668,0.35999998,19.201874,8.940168,10.180878
20190710T0000,10.250529,23.590528,17.769697,39.0,83.0,57.958332,1.0182338,13.397612,5.76358,349.9721
20190711T0000,15.170529,22.430529,19.22803,51.0,73.0,60.916668,3.319036,15.137133,5.8035703,112.604034
20190712T0000,15.980529,25.190529,20.191782,45.0,82.0,66.791664,5.154415,21.96295,11.285221,275.1051
20190713T0000,16.010529,22.660528,18.844278,46.0,84.0,66.416664,1.835647,11.542478,7.632927,334.69025
20190714T0000,14.450529,20.940529,17.691362,58.0,84.0,70.541664,1.1384199,18.94024,9.800362,11.92392
20190715T0000,11.600529,23.680529,18.587612,48.0,92.0,67.0,2.6208394,15.629972,8.769081,0.38026428
20190716T0000,12.870529,25.71053,20.169695,39.0,87.0,62.958332,2.0991426,10.931203,6.4692683,329.1458
20190717T0000,16.430529,27.330528,22.212194,34.0,74.0,54.083332,0.35999998,10.464797,6.069217,270.49606
20190718T0000,17.600529,27.690529,23.268446,34.0,65.0,50.0,1.9386592,14.830076,8.416573,244.1211
20190719T0000,18.590528,26.850529,23.280943,41.0,74.0,56.666668,1.5273507,14.869351,6.4749503,262295
20190720T0000,18.22053,32.19053,25.550112,31.0,82.0,56.333332,4.2136917,18.486622,10.388068,217.16928
20190721T0000,20.32053,27.770529,24.30095,44.0,83.0,62.5,1.9386592,13.797912,8.8757925,255.85767
20190722T0000,17.270529,29.90053,24.234701,39.0,85.0,60.208332,1.609969,13.5515,8.9789915,57.83744
20190723T0000,19.14053,33.200527,26.693445,33.0,79.0,54.958332,1.484318,13.009903,8.78902,103.532104
20190724T0000,20.660528,35.380527,28.797195,32.0,80.0,55.208332,0.0,10.799999,4.6359878,118.19292
20190725T0000,20.71053,35.50053,29.320114,35.0,81.0,55.791668,5.3517847,12.605142,9.530581,103.197716
20190726T0000,25.40053,32.21053,29.125534,31.0,67.0,52.416668,0.8049845,14.332341,6.7077804,161.87254
20190727T0000,19.160528,24.06053,21.811783,62.0,88.0,76.833336,1.1384199,19.9954,9.001648,280.9338
20190728T0000,16.000528,20.97053,18.55303,70.0,91.0,80.416664,4.6800003,29.070974,17.31945,263.99658
20190729T0000,15.590529,25.600529,21.154694,52.0,86.0,64.541664,1.0182338,10.1376915,6.0311494,22.232727
20190730T0000,17.70053,27.440529,22.735529,46.0,80.0,61.916668,2.3051248,24.187069,10.34302,269.53943
20190731T0000,17.15053,23.90053,20.31803,43.0,81.0,61.708332,0.0,15.876775,7.0514655,263.7071
20190801T0000,15.320529,25.520529,20.891783,42.0,75.0,55.416668,3.4152596,14.332341,7.9120755,4.0001984
20190802T0000,17.920528,26.12053,21.935946,44.0,67.0,54.583332,0.0,9.007196,2.9962177,225.61607
20190803T0000,16.240528,24.88053,21.005945,44.0,69.0,56.25,2.1897945,12.287555,7.732675,347.1523
20190804T0000,15.0505295,27.90053,22.239693,37.0,80.0,58.291668,4.896529,13.905509,9.357979,110.61279
20190805T0000,20.250528,29.89053,25.313864,38.0,71.0,54.708332,3.671294,18.374111,10.449192,245.06708
20190806T0000,19.670528,29.420528,24.547194,47.0,88.0,64.541664,5.0142193,17.294992,9.868718,203.88397
20190807T0000,17.020529,21.70053,19.731363,72.0,95.0,85.958336,1.835647,17.429354,9.638966,213.7992
20190808T0000,15.130529,27.160528,21.505112,47.0,88.0,66375,0.35999998,10.587917,6.6556726,120.48776
20190809T0000,17.54053,33.92053,26.263445,37.0,87.0,58.708332,6.725354,16.981165,12.693416,182.34528
20190810T0000,18.830528,26.04053,22.352613,42.0,86.0,62.708332,5.00128,18.72346,11.465314,257.86224
20190811T0000,15.660529,27.90053,21.028448,47.0,90.0,64.25,3.6,25.364037,9.063302,313.3153
20190812T0000,14.340529,20.63053,16.778448,61.0,93.0,78.916664,1.609969,13.004921,6.765021,255.79324
20190813T0000,13.670529,21.07053,17.84553,47.0,80.0,61375,0.71999997,11.212135,7.2878366,287.27762
20190814T0000,12.840529,23.020529,18.318863,37.0,69.0,53.25,1.1384199,8.14587,4.1946726,146.9356
20190815T0000,14.100529,23.38053,19.302195,47.0,71.0,56.416668,3.563818,25.570139,14.621196,253.80267
20190816T0000,14.870529,24.46053,19.911364,41.0,78.0,58.416668,0.8049845,9.504272,5.3074775,132.05853
20190817T0000,16.48053,26.030529,21.570946,42.0,78.0,58.791668,3.6,15.986595,8.801627,139.52095
20190818T0000,18.21053,31.05053,24.52511,37.0,79.0,59.0,2.9024127,25.264202,10.963276,250.90015
20190819T0000,19.47053,23.31053,21.592196,61.0,88.0,75.0,0.71999997,14.685176,6.3382773,228.87592
20190820T0000,13.580529,19.340528,16.03428,70.0,92.0,84.0,1.5273507,16.299694,8.283402,280.21686
20190821T0000,10.970529,23.850529,17.572613,44.0,93.0,68.791664,0.35999998,19.353138,9.638468,77.43768
